url,source,note
https://cafef.vn/thi-truong-chung-khoan.chn,CafeF,Chuyên mục Thị trường chứng khoán dùng cho dataset chính
https://cafef.vn/thi-truong-chung-khoan/trang-2.chn,CafeF,Trang phân trang để mở rộng số bài
